--- '위험률' 시트 데이터 ---
['재해장해율', '', '', '', '보험료 납입면제 관련 위험률 (재해/질병 50% 이상 장해)', '', '', '', '', '', '태아보장계수', '', '', '### 3. 예정해지율 테이블', '', '']
['23.0', '0.0005', '0.00025', '', '23.0', '3.8e-05', '1.9e-05', '0.0001', '0.0001', '', '', '', '', '', '', '']
['24.0', '0.0005', '0.00025', '', '24.0', '3.8e-05', '1.9e-05', '0.000112', '0.000112', '', '', '', '', '', '', '']
['25.0', '0.00055', '0.0003', '', '25.0', '4.2e-05', '2.1e-05', '0.000125', '0.000125', '', '', '', '', '', '', '']
['26.0', '0.00055', '0.0003', '', '26.0', '4.2e-05', '2.1e-05', '0.000138', '0.000138', '', '', '', '', '', '', '']
['27.0', '0.00055', '0.0003', '', '27.0', '4.2e-05', '2.1e-05', '0.000152', '0.000152', '', '', '', '', '', '', '']
['28.0', '0.00055', '0.0003', '', '28.0', '4.2e-05', '2.1e-05', '0.000168', '0.000168', '', '', '', '', '', '', '']
['29.0', '0.0006', '0.0003', '', '29.0', '4.6e-05', '2.2e-05', '0.000185', '0.000185', '', '', '', '', '', '', '']
['30.0', '0.0006', '0.0003', '', '30.0', '4.6e-05', '2.2e-05', '0.000205', '0.000205', '', '', '', '', '', '', '']
['31.0', '0.0006', '0.00035', '', '31.0', '4.6e-05', '2.4e-05', '0.000225', '0.000225', '', '', '', '', '', '', '']
['32.0', '0.00065', '0.00035', '', '32.0', '5e-05', '2.4e-05', '0.000245', '0.000245', '', '', '', '', '', '', '']
['33.0', '0.00065', '0.00035', '', '33.0', '5e-05', '2.4e-05', '0.00027', '0.00027', '', '', '', '', '', '', '']
['34.0', '0.0007', '0.00035', '', '34.0', '5.4e-05', '2.5e-05', '0.000295', '0.000295', '', '', '', '', '', '', '']
['35.0', '0.0007', '0.0004', '', '35.0', '5.4e-05', '2.7e-05', '0.00032', '0.00032', '', '', '', '', '', '', '']
['36.0', '0.0007', '0.0004', '', '36.0', '5.4e-05', '2.7e-05', '0.00035', '0.00035', '', '', '', '', '', '', '']
['37.0', '0.00075', '0.0004', '', '37.0', '5.8e-05', '2.8e-05', '0.00038', '0.00038', '', '', '', '', '', '', '']
['38.0', '0.00075', '0.0004', '', '38.0', '5.8e-05', '2.8e-05', '0.000415', '0.000415', '', '', '', '', '', '', '']
['39.0', '0.00075', '0.0004', '', '39.0', '5.8e-05', '2.8e-05', '0.00045', '0.00045', '', '', '', '', '', '', '']
['40.0', '0.00075', '0.0004', '', '40.0', '5.8e-05', '2.8e-05', '0.00049', '0.00049', '', '', '', '', '', '', '']
['41.0', '0.0008', '0.00045', '', '41.0', '6.2e-05', '3e-05', '0.00053', '0.00053', '', '', '', '', '', '', '']
['42.0', '0.0008', '0.00045', '', '42.0', '6.2e-05', '3e-05', '0.000575', '0.000575', '', '', '', '', '', '', '']
['43.0', '0.00085', '0.00045', '', '43.0', '6.6e-05', '3.1e-05', '0.000625', '0.000625', '', '', '', '', '', '', '']
['44.0', '0.00085', '0.0005', '', '44.0', '6.6e-05', '3.3e-05', '0.00068', '0.00068', '', '', '', '', '', '', '']
['45.0', '0.0009', '0.0005', '', '45.0', '7e-05', '3.4e-05', '0.00074', '0.00074', '', '', '', '', '', '', '']
['46.0', '0.00095', '0.0005', '', '46.0', '7.4e-05', '3.5e-05', '0.000805', '0.000805', '', '', '', '', '', '', '']
['47.0', '0.00095', '0.00055', '', '47.0', '7.4e-05', '3.6e-05', '0.000875', '0.000875', '', '', '', '', '', '', '']
['48.0', '0.001', '0.00055', '', '48.0', '7.8e-05', '3.7e-05', '0.00095', '0.00095', '', '', '', '', '', '', '']
['49.0', '0.001', '0.00055', '', '49.0', '7.8e-05', '3.7e-05', '0.00103', '0.00103', '', '', '', '', '', '', '']
['50.0', '0.001', '0.00055', '', '50.0', '7.8e-05', '3.7e-05', '0.001115', '0.001115', '', '', '', '', '', '', '']
---------------------------
