--- '기수표' 시트 데이터 (값) ---
['연령(x)', '생존자수(lx)', '사망률(qx)', '사망자수(dx)', 'Dx', 'Nx', 'Cx', 'Mx']
['52', '98244.85366270709', '0.001', '98.24485366270709', '30889.959775470896', '1073855.9961702086', '30.21022960926249', '1050.2259131248989']
['53', '98146.60880904438', '0.001', '98.14660880904438', '30180.01937965323', '1042966.0363947377', '29.51591137374399', '1020.0156835156369']
['54', '98048.46220023534', '0.001', '98.04846220023535', '29486.39546237025', '1012786.0170150844', '28.83755057444524', '990.4997721418928']
['55', '97950.4137380351', '0.001', '97.95041373803511', '28808.71302387079', '983299.6215527141', '28.174780463443312', '961.6622215674473']
['56', '97852.46332429707', '0.001', '97.85246332429708', '28146.60568297987', '954490.9085288434', '27.52724272174071', '933.487441104004']
['57', '97754.61086097278', '0.001', '97.75461086097279', '27499.715479018967', '926344.3028458635', '26.89458726554422', '905.9601983822633']
['58', '97656.85625011181', '0.001', '97.65685625011182', '26867.692678278676', '898844.5873668444', '26.27647205699627', '879.0656111167191']
['59', '97559.19939386171', '0.001', '97.55919939386172', '26250.195584939276', '871976.8946885659', '25.672562919256016', '852.7891390597229']
['60', '97461.64019446785', '0.001', '97.46164019446785', '25646.89035633676', '845726.6991036267', '25.08253335583057', '827.1165761404669']
['61', '97364.17855427339', '0.001', '97.3641785542734', '25057.45082247474', '820079.8087472899', '24.506064374058425', '802.0340427846363']
['62', '97266.81437571911', '0.001', '97.26681437571912', '24481.558309684366', '795022.3579248153', '23.942844312649754', '777.5279784105779']
['63', '97169.5475613434', '0.001', '97.16954756134339', '23918.901468337102', '770540.7996151309', '23.392568673190322', '753.5851340979281']
['64', '97072.37801378206', '0.001', '97.07237801378206', '23369.176104517133', '746621.898146794', '22.85493995551798', '730.1925654247376']
['65', '96975.30563576828', '0.001', '96.97530563576828', '22832.085015562465', '723252.7220422768', '22.329667496882607', '707.3376254692197']
['66', '96878.3303301325', '0.001', '96.87833033013251', '22307.33782938572', '700420.6370267143', '21.816467314802665', '685.0079579723371']
['67', '96781.45199980238', '0.001', '96.78145199980237', '21794.65084748786', '678113.2991973287', '21.315061953533363', '663.1914906575342']
['68', '96684.67054780257', '0.001', '96.68467054780257', '21293.746891579827', '656318.6483498408', '20.825180334063404', '641.8764287040009']
['69', '96587.98587725476', '0.001', '96.58798587725477', '20804.35515372934', '635024.901458261', '20.34655760755926', '621.0512483699375']
['70', '96491.3978913775', '0.001', '96.4913978913775', '20326.211049951697', '614220.5463045315', '19.8789350121777', '600.7046907623783']
['71', '96394.90649348612', '0.001', '96.39490649348613', '19859.056077165522', '593894.3352545798', '19.422059733169217', '580.8257557502004']
['72', '96298.51158699264', '0.001', '96.29851158699265', '19402.637673436046', '574035.2791774143', '18.975684766196625', '561.4036960170312']
['73', '96202.21307540564', '0.001', '96.20221307540564', '18956.709081430425', '554632.6415039784', '18.539568783795033', '542.4280112508345']
['74', '96106.01086233024', '0.001', '96.10601086233024', '18521.02921501124', '535675.932422548', '18.113476004900974', '523.8884424670395']
['75', '96009.9048514679', '0.001', '96.00990485146791', '18095.362528896072', '517154.90320753667', '17.69717606738002', '505.77496646213854']
['76', '95913.89494661643', '0.001', '95.91389494661644', '17679.47889131264', '499059.5406786406', '17.290443903484245', '488.07779039475855']
['77', '95817.98105166982', '0.001', '95.81798105166982', '17273.15345958076', '481380.06178732787', '16.893059618171897', '470.78734649127426']
['78', '95722.16307061815', '0.001', '95.72216307061815', '16876.166558553723', '464106.90832774714', '16.504808370223692', '453.89428687310243']
['79', '95626.44090754753', '0.001', '95.62644090754753', '16488.303561853467', '447230.74176919344', '16.125480256091414', '437.3894785028788']
['80', '95530.81446663997', '0.001', '95.53081446663998', '16109.354775835322', '430742.43820733996', '15.754870196415963', '421.2639982467874']
['81', '95435.28365217334', '0.001', '95.43528365217334', '15739.115326219548', '414633.08343150467', '15.392777825153592', '405.50912805037143']
['82', '95339.84836852117', '0.001', '95.33984836852117', '15377.385047328438', '398893.9681052852', '15.039007381250308', '390.11635022521784']
['83', '95244.50852015265', '0.001', '95.24450852015265', '15023.968373869056', '383516.58305795677', '14.693367602805926', '375.07734284396753']
['84', '95149.2640116325', '0.001', '95.14926401163251', '14678.674235203121', '368492.6146840877', '14.355671623670533', '360.3839752411616']
['85', '95054.11474762087', '0.001', '95.05411474762087', '14341.315952046862', '353813.9404488846', '14.02573687241747', '346.0283036174911']
['86', '94959.06063287325', '0.001', '94.95906063287326', '14011.711135545052', '339472.6244968377', '13.703384973638196', '332.00256674507364']
['87', '94864.10157224038', '0.001', '94.86410157224039', '13689.681588664556', '325460.91336129274', '13.388441651505678', '318.2991817714355']
['88', '94769.23747066814', '0.001', '94.76923747066814', '13375.053209854173', '311771.23177262815', '13.080736635554207', '304.91074011992976']
['89', '94674.46823319748', '0.001', '94.67446823319747', '13067.655898918652', '298396.178562774', '12.780103568624595', '291.83000348437554']
['90', '94579.79376496428', '0.001', '94.5797937649643', '12767.323465055972', '285328.52266385534', '12.486379916925163', '279.04989991575104']
['91', '94485.21397119932', '0.001', '94.48521397119933', '12473.893537008236', '272561.1991987994', '12.199406882159645', '266.5635199988259']
['92', '94390.72875722812', '0.001', '94.39072875722812', '12187.207475277484', '260087.30566179118', '11.919029315674802', '254.36411311666615']
['93', '94296.3380284709', '0.001', '94.2963380284709', '11907.110286359128', '247900.09818651367', '11.645095634581052', '242.44508380099137']
['94', '94202.04169044243', '0.001', '94.20204169044244', '11633.450538946472', '235992.98790015458', '11.377457739800953', '230.79998816641032']
['95', '94107.839648752', '0.001', '94.10783964875199', '11366.080282061152', '224359.5373612081', '11.115970936001128', '219.42253042660937']
['96', '94013.73180910324', '0.001', '94.01373180910323', '11104.854965065126', '212993.45707914693', '10.860493853364426', '208.30655949060827']
['97', '93919.71807729414', '0.001', '93.91971807729414', '10849.633359511063', '201888.60211408182', '10.610888371159962', '197.4460656372438']
['98', '93825.79835921685', '0.001', '93.82579835921685', '10600.277482788804', '191038.96875457073', '10.367019543069736', '186.83517726608383']
['99', '93731.97256085763', '0.001', '93.73197256085763', '10356.652523526665', '180438.69127178192', '10.128755524231458', '176.4681577230141']
['100', '93638.24058829677', '0.001', '93.63824058829677', '10118.626768707227', '170082.03874825523', '9.895967499958168', '166.33940219878264']
['101', '93544.60234770848', '0.001', '93.54460234770849', '9886.07153245821', '159963.411979548', '9.668529616096052', '156.44343469882446']
['102', '93451.05774536077', '0.001', '93.45105774536077', '9658.861086479954', '150077.34044708978', '9.446318910982841', '146.7749050827284']
['103', '93357.60668761541', '0.001', '93.35760668761542', '9436.872592071857', '140418.4793606098', '9.229215248970034', '137.32858617174554']
['104', '93264.2490809278', '0.001', '93.2642490809278', '9219.986033721063', '130981.60676853795', '9.017101255472923', '128.09937092277553']
['105', '93170.98483184687', '0.001', '93.17098483184688', '9008.084154217451', '121761.62073481688', '8.8098622535134', '119.08226966730263']
['106', '93077.81384701503', '0.001', '93.07781384701504', '8801.052391259886', '112753.53658059945', '8.60738620172116', '110.27240741378921']
['107', '92984.73603316801', '0.001', '92.984736033168', '8598.77881551944', '103952.48418933956', '8.409563633759843', '101.66502121206804']
['108', '92891.75129713485', '0.001', '92.89175129713485', '8401.154070126084', '95353.70537382014', '8.216287599145314', '93.25545757830821']
['109', '92798.85954583771', '0.001', '92.79885954583771', '8208.07131154617', '86952.55130369405', '8.027453605424126', '85.03916997916289']
['110', '92706.06068629186', '0.001', '92.70606068629186', '8019.426151818701', '78744.47999214788', '7.842959561680882', '77.01171637373876']
['111', '92613.35462560557', '0.001', '92.61335462560557', '7835.116602119201', '70725.05384032919', '7.662705723343964', '69.16875681205788']
['112', '92520.74127097997', '0.001', '92.52074127097997', '7655.04301762062', '62889.93723820998', '7.486594638259775', '61.50605108871391']
['113', '92428.22052970898', '0.001', '92.42822052970898', '7479.108043621515', '55234.894220589355', '7.314531094006372', '54.019456450454136']
['114', '92335.79230917928', '0.001', '92.33579230917928', '7307.2165629123665', '47755.78617696784', '7.146422066417962', '46.70492535644777']
['115', '92243.4565168701', '0.001', '92.2434565168701', '7139.275644351544', '40448.56961405548', '6.982176669292464', '39.558503290029805']
['116', '92151.21306035323', '0.001', '92.15121306035323', '6975.194492623171', '33309.293969703926', '6.821706105254935', '32.57632662073734']
['117', '92059.06184729288', '0.001', '92.05906184729288', '6814.884399149681', '26334.099477080756', '6.6649236177503', '25.754620515482404']
['118', '91967.00278544558', '0.001', '91.96700278544559', '6658.258694132549', '19519.215077931076', '6.511744444139414', '19.089696897732107']
['119', '91875.03578266014', '0.001', '91.87503578266013', '6505.232699695274', '12860.956383798528', '6.3620857698731275', '12.57795245359269']
['120', '91783.16074687747', '0.001', '91.78316074687747', '6355.723684103254', '6355.723684103254', '6.215866683719564', '6.215866683719564']
---------------------------
