--- '기수표' 시트 데이터 (값) ---\n['연령(x)', '생존자수(lx)', '사망률(qx)', '사망자수(dx)', 'Dx', 'Nx', 'Cx', 'Mx', '키(Key)']
['106', '93077.81384701503', '0.001', '93.07781384701504', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['107', '92984.73603316801', '0.001', '92.984736033168', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['108', '92891.75129713485', '0.001', '92.89175129713485', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['109', '92798.85954583771', '0.001', '92.79885954583771', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['110', '92706.06068629186', '0.001', '92.70606068629186', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['111', '92613.35462560557', '0.001', '92.61335462560557', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['112', '92520.74127097997', '0.001', '92.52074127097997', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['113', '92428.22052970898', '0.001', '92.42822052970898', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['114', '92335.79230917928', '0.001', '92.33579230917928', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['115', '92243.4565168701', '0.001', '92.2434565168701', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['116', '92151.21306035323', '0.001', '92.15121306035323', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['117', '92059.06184729288', '0.001', '92.05906184729288', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['118', '91967.00278544558', '0.001', '91.96700278544559', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['119', '91875.03578266014', '0.001', '91.87503578266013', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
['120', '91783.16074687747', '0.001', '91.78316074687747', '#VALUE!', '#VALUE!', '#VALUE!', '#VALUE!', '']
---------------------------
